"glad
","zadowolony
"
"took
","wzięła
"
"spending
","wydatki
"
"utrecht
","utrecht
"
"burned
","spalony
"
"drunkardas
","pijaki
"
"worthso
","warto
"
"quivered
","zadrżał
"
"nightair
","nocne powietrze
"
"taille
","ogon
"
"guiltlessness
","niewinność
"
"valet
","kamerdyner
"
"privation
","niedostatek
"
"impetus
","impet
"
"sympathymy
","sympathymy
"
"long-pondered
","długo się zastanawiał
"
"soart
","soart
"
"ran
","biegł
"
"gnawing
","gryząc
"
"agitate
","mieszać
"
"glide
","poślizg
"
"original
","oryginał
"
"knowit
","znać to
"
"humanities
","humanistyka
"
"houseboat
","łódź mieszkalna
"
"glimpsethat
","dostrzegam, że
"
"dependent
","zależny
"
"embroidery
","haft
"
"gradations
","gradacje
"
"bookcloset
","biblioteczka
"
"charmers
","czarownicy
"
"poor
","ubogi
"
"pictured
","na zdjęciu
"
"sufferingswhat
","co za cierpienie
"
"thousand
","tysiąc
"
"victualage
","wiktualizacja
"
"assassination
","zamach
"
"battles
","bitwy
"
"throat
","gardło
"
"carriage-step
","krok karetki
"
"looked
","spojrzał
"
"questionwhich
","pytanie, które
"
"pencil
","ołówek
"
"trickling
","cieknący
"
"emotion
","emocja
"
"portraits
","portrety
"
"four
","cztery
"
"good-bye
","do widzenia
"
"tapped
","dotknięty
"
"ranting
","rantowanie
"
"bayeux
","bayeux
"
"ludicrous
","śmieszny
"
"wiped
","wyczyszczone
"
"resemblance
","podobieństwo
"
"a-begging
","błaganie
"
"garden-beds
","łóżka ogrodowe
"
"rumbled
","zagrzmiał
"
"drawling
","cedząc
"
"gusty
","porywisty
"
"john
","Jan
"
"fancying
","fantazyjne
"
"compliment
","komplement
"
"dwellingto
","dwellingto
"
"communists
","komuniści
"
"blinds
","Żaluzje
"
"hurl
","ciskać
"
"heads
","głowy
"
"doesnt
","nie robi
"
"actan
","aktan
"
"bridal
","ślubny
"
"crow
","wrona
"
"lisp
","seplenienie
"
"mammichen
","mammichen
"
"somethinga
","coś
"
"myrrh
","mirra
"
"puddle
","kałuża
"
"enunciated
","ogłoszony
"
"blow-by-blow
","przedmuchiwanie
"
"arises
","powstaje
"
"cardboard
","karton
"
"excusable
","wybaczalny
"
"vowed
","ślubował
"
"reiterate
","powtarzać
"
"elsewhere
","gdzie indziej
"
"fertilised
","zapłodnione
"
"freshened
","odświeżony
"
"stab
","zasztyletować
"
"valerian
","waleriana
"
"advert
","ogłoszenie
"
"rely
","polegać
"
"proportionate
","procentowy
"
"frantic
","oszalały
"
"preferenceequivocal
","preferencje równoważne
"
"verandah
","weranda
"
"moss-blackened
","poczerniałe od mchu
"
"rustle
","szelest
"
"generosity
","hojność
"
"amost
","większość
"
"freely
","swobodnie
"
"saves
","oszczędza
"
"indigent
","biedny
"
"thick-soled
","na grubej podeszwie
"
"yesthat
","tak to
"
"loaded
","załadowany
"
"undressing
","rozbieranie się
"
"studies
","studia
"
"tonesstill
","dźwięki nadal
"
"tobacco
","tytoń
"
"foil
","folia
"
"olivers
","oliwki
"
"sirfor
","sirfor
"
"predisposed
","predysponowany
"
"tribe
","plemię
"
"roam
","wędrować
"
"georgianas
","georgianas
"
"notices
","zawiadomienia
"
"lipsagitate
","wargi się poruszają
"
"prayerif
","modlitwaif
"
"mogilev
","mogilew
"
"linen
","bielizna
"
"noon
","południe
"
"yesto
","tak dla
"
"bees-wax
","wosk
"
"-
","-
"
"started
","zaczęło się
"
"kind
","uprzejmy
"
"makes
","robi
"
"cruel
","okrutny
"
"calisthenics
","rytmika
"
"pored
","porowany
"
"meaning
","znaczenie
"
"marriages
","małżeństwa
"
"tranquil
","cichy
"
"scrap
","złom
"
"wordsyou
","wordsyou
"
"deluding
","złudzenie
"
"rapidity
","szybkość
"
"breezy
","przewiewny
"
"recognized
","rozpoznane
"
"made
","zrobiony
"
"dispossessed
","wywłaszczony
"
"pommes
","pommes
"
"humph
","humph
"
"nowlet
","teraz pozwól
"
"elseto
","elseto
"
"everybody
","wszyscy
"
"paws
","łapy
"
"parlour-bell
","dzwonek do salonu
"
"brrr
","brrr
"
"b-'s
","b-'s
"
"eld
","pole
"
"whimpering
","skomleć
"
"alternated
","naprzemiennie
"
"stiffly
","twardo
"
"self-doubt
","zwątpienie w siebie
"
"antagonistic
","antagonistyczny
"
"noblemans
","szlachcice
"
"cautious
","ostrożny
"
"course
","kierunek
"
"plead
","błagać
"
"swiss
","szwajcarski
"
"frank's
","Frank's
"
"arriving
","przyjazd
"
"chased
","ścigany
"
"momentwith
","momentwith
"
"whenhowwhither
","kiedy, jak gdzie
"
"seal
","foka
"
"deluged
","zatopiony
"
"frenzied
","oszalały
"
"breasts
","piersi
"
"period
","Kropka
"
"wellwell
","dobrze, dobrze
"
"vibration
","wibracja
"
"foul
","faul
"
"cigarette
","papieros
"
"sprained
","zwichnięty
"
"row
","rząd
"
"roundly
","okrągło
"
"drift
","dryf
"
"affable
","uprzejmy
"
"ofi
","ofi
"
"recognised
","rozpoznane
"
"vapour
","para
"
"ladybecause
","pani, bo
"
"misunderstand
","źle zrozumieć
"
"blunted
","stępiony
"
"sneers
","szydzi
"
"tufted
","czubaty
"
"philosophers
","filozofowie
"
"diary
","Dziennik
"
"redolent
","wonny
"
"wordy
","rozwlekły
"
"chamber-maid
","pokojówka
"
"make
","Marka
"
"heroism
","bohaterstwo
"
"warrant
","nakaz
"
"sulky
","nadąsany
"
"dressing
","ubieranie się
"
"compensation
","odszkodowanie
"
"overconfident
","zbyt pewny siebie
"
"night-air
","nocne powietrze
"
"owe
","zawdzięczać
"
"messenger-pigeon
","gołąb pocztowy
"
"blue-eyed
","niebieskooki
"
"beer's
","piwo
"
"zuider-amstellaan
","zuider-amstellaan
"
"moonless
","bezksiężycowy
"
"fie
","fie
"
"self-pity
","użalanie się nad sobą
"
"dish
","danie
"
"hears
","słyszy
"
"poking
","szturchanie
"
"slime
","szlam
"
"diet
","dieta
"
"heath
","wrzosowisko
"
"panels
","panele
"
"fractious
","krnąbrny
"
"voiceat
","głos
"
"repartee
","riposta
"
"musing
","rozmyślanie
"
"want
","chcieć
"
"bedstead
","łóżko
"
"require
","wymagać
"
"recovery
","poprawa
"
"gräfinnen
","gräfinnen
"
"twittering
","świergot
"
"poplars
","topole
"
"opens
","otwiera się
"
"economy
","gospodarka
"
"deformitya
","deformitya
"
"baloney
","bujda
"
"think-the
","pomyśl
"
"frayed
","postrzępiony
"
"goembrace
","goembrace
"
"furrier
","kuśnierz
"
"languageno
","Languageno
"
"snivelno
","snivelno
"
"why
","dlaczego
"
"isi
","isi
"
"punishments
","kary
"
"openly
","otwarcie
"
"fatalistic
","fatalistyczny
"
"contemplating
","kontemplując
"
"immigrated
","wyemigrował
"
"countryside
","Wieś
"
"patrolling
","patrolowanie
"
"pearl-like
","perłowy
"
"killing
","zabicie
"
"kerli's
","kerli's
"
"courteous
","uprzejmy
"
"viewhow
","pokaz
"
"similarly
","podobnie
"
"elle
","elle
"
"ascribed
","przypisane
"
"nightthe
","nightthe
"
"portmanteau
","kontaminacja
"
"defended
","broniony
"
"baking
","pieczenie
"
"dussel's
","dussel's
"
"struggle
","borykać się
"
"deviates
","odchyla się
"
"volcanic
","wulkaniczny
"
"termswhat
","warunki
"
"mistress
","kochanka
"
"criticize
","krytykować
"
"depart
","odjazd
"
"dry
","suchy
"
"felling
","wyrąb
"
"petit
","petit
"
"flour
","mąka
"
"extinguishing
","gaszenie
"
"demons
","demony
"
"excellences
","doskonałości
"
"certificate
","certyfikat
"
"window-recess
","wnęka okienna
"
"timeor
","timeor
"
"animadversions
","animadversions
"
"weariness
","zmęczenie
"
"bleached
","bielone
"
"privilege
","przywilej
"
"lifeat
","lifeat
"
"thirteen-year-old
","trzynastolatek
"
"austrian
","austriacki
"
"allowance
","dodatek
"
"bridge
","most
"
"nations
","narody
"
"cost
","koszt
"
"mouths
","usta
"
"hunting
","polowanie
"
"tendencies
","tendencje
"
"allpredominating
","wszechprzeważający
"
"seabluer
","seabluer
"
"act
","akt
"
"arebe
","arebe
"
"furred
","w futrze
"
"transfer
","transfer
"
"cadet
","kadet
"
"devious
","przebiegły
"
"tinkle
","brzęk
"
"largely
","w dużej mierze
"
"author
","autor
"
"relieve
","łagodzić: uśmierzać
"
"behavior
","zachowanie
"
"handmaid
","służąca
"
"shot
","strzał
"
"paragon
","wzór doskonałości
"
"plentiful
","obfity
"
"skirts
","spódnice
"
"tablets
","tabletki
"
"lilies
","lilie
"
"incidents
","incydenty
"
"predicted
","przewidywane
"
"purposes
","cele
"
"sewing
","szycie
"
"encore
","Bis
"
"tastepriggish
","smakprzytulny
"
"portentous
","złowieszczy
"
"whiles
","chwile
"
"siberia
","Syberia
"
"equalling
","wyrównanie
"
"awoke
","obudził się
"
"bring
","przynieść
"
"oaks
","dęby
"
"salute
","salut
"
"inattention
","nieuwaga
"
"disturb
","przeszkadzać
"
"copy
","Kopiuj
"
"eagle
","orzeł
"
"cravings
","zachcianki
"
"however
","jednak
"
"roaming
","roaming
"
"enjoys
","cieszy się
"
"depend
","zależeć
"
"instigator
","podżegacz
"
"remains
","pozostaje
"
"hauteur
","hauteur
"
"overcomes
","pokonuje
"
"ruthlessly
","niemiłosiernie
"
"resignation
","rezygnacja
"
"overleaping
","overleaping
"
"imagining
","wyobrażając sobie
"
"extended
","rozszerzony
"
"spurned
","wzgardzony
"
"education
","Edukacja
"
"blank
","pusty
"
"whereof
","z czego
"
"balanced
","zrównoważony
"
"rejoined
","wrócił
"
"precluded
","wykluczone
"
"bonnet-strings
","stringi maski
"
"resign
","rezygnować
"
"liaison
","łączność
"
"laughmay
","śmiech
"
"recipes
","przepisy kulinarne
"
"grecian
","grecki
"
"caged
","w klatce
"
"devise
","wymyślać
"
"youngperhaps
","być może młodo
"
"basted
","podsmażony
"
"secretly
","potajemnie
"
"chastising
","karcący
"
"last-born
","ostatni urodzony
"
"paneless
","paneless
"
"bye
","PA
"
"duly
","należycie
"
"flaxen
","lniany
"
"thereand
","tam i
"
"tuft
","czub
"
"vicinage
","vicinage
"
"delighted
","zachwycony
"
"familys
","familys
"
"puffing
","sapanie
"
"noises
","odgłosy
"
"shes
","ona
"
"level
","poziom
"
"tenor
","tenor
"
"unavailing
","nieskuteczny
"
"walking
","pieszy
"
"buried
","pochowany
"
"donemutual
","donemutual
"
"diaries
","pamiętniki
"
"making
","zrobienie
"
"rubs
","ściera
"
"hannaha
","hannaha
"
"root-canal
","kanałowe
"
"no
","Nie
"
"orange
","Pomarańczowy
"
"blossomed
","rozkwitł
"
"politician
","polityk
"
"woudstra
","woudstra
"
"pleasurable
","przyjemny
"
"vow
","przysięga
"
"gropingly
","po omacku
"
"liked
","lubi
"
"catty
","koci
"
"eminently
","wybitnie
"
"plants
","rośliny
"
"scapegoat
","kozioł ofiarny
"
"accuracy
","precyzja
"
"experiencing
","przeżywać
"
"sold
","sprzedany
"
"tittering
","chichotanie
"
"congratulations
","Gratulacje
"
"hypothesisthe
","hipoteza
"
"merely
","jedynie
"
"anzusehen
","anzusehen
"
"carlton
","Carlton
"
"begs
","błaga
"
"anywhere
","gdziekolwiek
"
"pinned
","przypięte
"
"commonplaces
","codzienności
"
"coughs
","kaszel
"
"creation
","kreacja
"
"indeedwealth
","rzeczywiście bogactwo
"
"wire
","drut
"
"mock
","drwić
"
"ware
","towar
"
"eight-thirty
","osiem trzydzieści
"
"desponding
","przygnębiony
"
"unpolished
","matowy
"
"abstract
","abstrakcyjny
"
"piety
","pobożność
"
"respectful
","pełen szacunku
"
"only
","tylko
"
"gradual
","stopniowy
"
"clothed
","Ubrany
"
"clusters
","klastry
"
"halves
","połówki
"
"blazing
","płonący
"
"severed
","odcięte
"
"regrets
","żałuje
"
"bohemian
","Czech
"
"compromising
","kompromitujący
"
"creole
","kreolski
"
"peering
","peering
"
"sightless
","niewidomy
"
"rending
","rozdzieranie
"
"liaisons
","powiązania
"
"honest
","szczery
"
"weep
","płakać
"
"partitions
","partycje
"
"daring
","śmiały
"
"spill
","rozlanie
"
"cleans
","czyści
"
"profit
","zysk
"
"promise
","obietnica
"
"roof
","dach
"
"up-he
","up-he
"
"soaking
","moczenie
"
"drizzling
","mżawka
"
"plunked
","plunked
"
"joyless
","niewesoły
"
"momentary
","chwilowy
"
"tidier
","uporządkowany
"
"dogfight
","walka samolotów
"
"spent
","wydany
"
"scoops
","miarki
"
"thursday
","czwartek
"
"faithher
","Faithher
"
"delineation
","opis
"
"planned
","zaplanowany
"
"labour
","rodzić
"
"risky
","ryzykowny
"
"frederick
","frederick
"
"daans'
","daans '
"
"attention
","Uwaga
"
"shoemakers
","szewcy
"
"ferment
","ferment
"
"ayayhes
","ayayhes
"
"chidden
","zbeształ
"
"coercion
","przymus
"
"inexorable
","nieubłagany
"
"bawled
","wrzasnął
"
"affair
","sprawa
"
"trampled
","zdeptany
"
"resources
","zasoby
"
"renewing
","odnawianie
"
"armchairs
","fotele
"
"ill-humour
","zły humor
"
"mosquitoes
","komary
"
"passed
","przeszedł
"
"lunchtime
","pora obiadu
"
"chair
","krzesło
"
"session
","sesja
"
"powdered
","sproszkowany
"
"xxvii
","xxvii
"
"hippopotamus
","hipopotam
"
"admit
","przyznać
"
"clogged
","zatkany
"
"appear
","zjawić się
"
"concession
","koncesja
"
"low-born
","nisko urodzony
"
"sermon
","kazanie
"
"songs
","piosenki
"
"children
","dzieci
"
"plane
","samolot
"
"itit
","to to
"
"pallor
","bladość
"
"doubts
","wątpienie
"
"ever-torturing
","wiecznie torturujący
"
"forgiving
","wyrozumiały
"
"anchor
","Kotwica
"
"bathe
","kąpać
"
"provision
","zaopatrzenie
"
"knaves
","łajdaki
"
"star-like
","podobny do gwiazdy
"
"fighting
","walczący
"
"unskilled
","niewykwalifikowany
"
"stem
","trzon
"
"impatience
","niecierpliwość
"
"rearand
","tył i
"
"marine
","morski
"
"chair-back
","oparcie krzesła
"
"drag
","opór
"
"puzzling
","zagadkowe
"
"midnightthat
","o północy
"
"blunders
","błędy
"
"clamorous
","hałaśliwy
"
"regularity
","prawidłowość
"
"beverage
","napój
"
"stove's
","piec
"
"isthat
","czy to
"
"xxxviiiconclusion
","xxxviiiconclusion
"
"raincoat
","płaszcz przeciwdeszczowy
"
"propound
","wysunąć
"
"occasioning
","okazja
"
"garbage
","Śmieci
"
"deriving
","pochodzący
"
"valour
","dzielność
"
"tangled
","splątany
"
"momsy
","momsy
"
"along
","wzdłuż
"
"cuffed
","mankietami
"
"outrivalled
","przewyższony
"
"pliability
","odkształcalność
"
"reappeared
","pojawił się ponownie
"
"side-glances
","spojrzenia z boku
"
"good-morrow
","dzień dobry
"
"bun
","kok
"
"vexed
","zdenerwowany
"
"amusement
","rozrywka
"
"annoyance
","kłopot
"
"gentleman
","pan
"
"walled
","otoczony murem
"
"products
","produkty
"
"necessity
","konieczność
"
"bottle
","butelka
"
"ultramodern
","ultranowoczesny
"
"constantly
","stale
"
"laying
","nośny
"
"pausing
","pauza
"
"extorted
","wymuszony
"
"sky-linethat
","sky-linethat
"
"precincts
","okolice miasta
"
"acceptance
","przyjęcie
"
"bragging
","chwalenie się
"
"interment
","pogrzebanie zwłok
"
"reproofs
","napomnienia
"
"jacques
","jacques
"
"arent
","arent
"
"muttering
","mamroczący
"
"ourselves
","my sami
"
"whenever
","kiedy tylko
"
"count
","liczyć
"
"talk
","rozmowa
"
"half-effaced
","na wpół zatarty
"
"parian
","paryjski
"
"willing
","skłonny
"
"lily
","lilia
"
"handsome
","przystojny
"
"paper
","papier
"
"liverwurst
","pasztetowa kiełbasa
"
"reward
","nagroda
"
"passing
","przechodzący
"
"untouched
","nietknięty
"
"unjustunjust
","niesprawiedliwe
"
"eyesunavailing
","niewiarygodny wzrok
"
"pays
","płaci
"
"miniature
","miniaturowy
"
"cushioning
","amortyzacja
"
"poetry
","poezja
"
"seulement
","seulement
"
"eighteen
","osiemnaście
"
"precocious
","przedwczesny
"
"pebbly
","kamienisty
"
"grocery
","sklep spożywczy
"
"pamphlets
","broszury
"
"flicker
","migotanie
"
"expired
","przedawniony
"
"occurrence
","występowanie
"
"familiarly
","swojsko
"
"improvementwith
","poprawa z
"
"vainlyall
","na próżno
"
"doorway
","wejście
"
"studyreasons
","studium powodów
"
"overexplained
","nadmiernie wyjaśnione
"
"relaxed
","zrelaksowany
"
"femmes
","femmes
"
"accession
","przystąpienie
"
"rich
","bogaty
"
"lift
","winda
"
"rim
","obręcz
"
"squareness
","rzetelność
"
"vicinity
","sąsiedztwo
"
"simpleton
","prostak
"
"timethe
","harmonogram
"
"saddle
","siodło
"
"grimy
","umorusany
"
"greeted
","przywitał się
"
"cautiously
","ostrożnie
"
"joys
","radości
"
"rewards
","nagrody
"
"members
","członków
"
"canning
","konserwowanie
"
"slumbered
","drzemał
"
"parlez
","parlez
"
"caution
","Uwaga
"
"self-willed
","samowolny
"
"xx
","xx
"
"stairs
","schody
"
"shocking
","wstrząsający
"
"nourishment
","pokarm
"
"dell
","Dell
"
"ghosts
","duchy
"
"confabulate
","konfabulować
"
"ruth
","litość
"
"thembut
","ale
"
"pursesome
","torebka
"
"upholding
","podtrzymywanie
"
"reverberation
","pogłos
"
"ill-mannered
","źle wychowany
"
"who'd
","kto by
"
"cousin's
","kuzynka
"
"melted
","stopiony
"
"adequate
","odpowiedni
"
"enigmas
","zagadki
"
"suits
","garnitury
"
"long-suffering
","wielkoduszny
"
"nightnear
","nightnear
"
"tracking
","śledzenie
"
"scarce
","deficytowy
"
"implored
","błagał
"
"sealing
","opieczętowanie
"
"utterance
","wypowiedź
"
"anothers
","inne
"
"peers
","rówieśnicy
"
"crimea
","krym
"
"en
","en
"
"gaily
","wesoło
"
"yonderthis
","yonderthis
"
"river
","rzeka
"
"deep-thrilling
","głęboko ekscytujące
"
"rummage
","grzebać
"
"prey
","zdobycz
"
"failing
","w braku
"
"reclaimed
","odzyskane
"
"buoyancy
","pławność
"
"hoard
","skarb
"
"senses
","rozsądek
"
"belfry
","dzwonnica
"
"splash
","pluśnięcie
"
"burnt
","spalony
"
"'remember
","'Zapamiętaj
"
"each
","każdy
"
"plansgo
","plany
"
"panel
","płyta
"
"overwhelm
","zasypać
"
"plumy
","śliwkowy
"
"petulance
","rozdrażnienie
"
"peals
","peals
"
"swam
","pływał
"
"paralysedmade
","sparaliżowany
"
"it's
","jego
"
"impression
","wrażenie
"
"self-awareness
","samoświadomość
"
"pooleshe
","pooleshe
"
"prurience
","lubieżność
"
"testament
","testament
"
"wanderer
","wędrowiec
"
"instructress
","instruktorka
"
"clouding
","zmętnienie
"
"chemist
","chemik
"
"brilliant
","znakomity
"
"swathed
","owinięty
"
"circassian
","Circassian
"
"experiences
","doświadczenie
"
"marking
","cechowanie
"
"silenceits
","cisza
"
"brilliantly
","błyszcząco
"
"heaven's
","niebo
"
"doill
","doill
"
"click-click
","klik-klik
"
"presume
","przypuszczać
"
"lights
","światła
"
"unaccounted-for
","nierozliczone
"
"converting
","konwersja
"
"deserter
","dezerter
"
"belowwhat
","poniżej co
"
"understand
","Rozumiesz
"
"omnipresence
","wszechobecność
"
"tortures
","tortury
"
"sacks
","worki
"
"preparations
","przygotowania
"
"resulting
","wynikły
"
"envies
","zazdrości
"
"inflammable
","łatwopalny
"
"gorged
","nasycony
"
"foreigners
","obcokrajowcy
"
"gazing
","wpatrując się
"
"tirade
","tyrada
"
"warm-hearted
","serdeczny
"
"hey
","Hej
"
"questioning
","pytający
"
"wrangbut
","wrangbut
"
"conceal
","ukryć
"
"talented
","utalentowany
"
"preferences
","preferencje
"
"quivering
","drżenie
"
"humbler
","pokorniejszy
"
"isles
","wyspy
"
"templeor
","Templeor
"
"bathtub
","wanna
"
"destined
","przeznaczone
"
"complying
","przestrzeganie
"
"prediction
","Prognoza
"
"tale
","opowieść
"
"solitudes
","samotności
"
"minutes
","minuty
"
"forthwith
","bezzwłocznie
"
"noise
","hałas
"
"unutterable
","niewypowiedziany
"
"strolling
","spacerowy
"
"bullet
","pocisk
"
"seeming
","pozorny
"
"dames
","damy
"
"suspects
","podejrzani
"
"fount
","źródło
"
"sterner
","surowszy
"
"rebuff
","odprawa
"
"occupying
","zajmowanie
"
"charnel
","charnel
"
"behindcould
","z tyłu
"
"unhappy
","nieszczęśliwy
"
"bolsters
","wzmocnienia
"
"adjusted
","skorygowana
"
"secrets
","tajniki
"
"groningen
","groningen
"
"inured
","inured
"
"stables
","stajnie
"
"marseilles
","Marsylia
"
"resort
","Ośrodek wczasowy
"
"dried
","wysuszony
"
"gushed
","trysnął
"
"sweetish
","słodkawy
"
"sullen
","ponury
"
"georgiana
","georgiana
"
"ny
","ny
"
"killers
","zabójcy
"
"merciful
","miłosierny
"
"hitler's
","Hitlera
"
"merry
","wesoły
"
"minister
","minister
"
"learns
","uczy się
"
"storage
","przechowywanie
"
"nightcap
","szlafmyca
"
"dale
","dołek
"
"burst
","rozerwanie
"
"existenceshown
","pokazane istnienie
"
"sibylif
","sibylif
"
"unwisely
","nierozsądnie
"
"même
","ja ja
"
"squabbles
","sprzeczki
"
"contribute
","przyczynić się
"
"devised
","opracowana
"
"excursions
","wycieczki
"
"tuckers
","tuckers
"
"go-round
","chodzić w kółko
"
"churchfor
","kościół dla
"
"moulder
","wypraska
"
"sidling
","sidling
"
"bumped
","uderzył
"
"garretts
","strychy
"
"coachmen
","woźnice
"
"absorbed
","zaabsorbowany
"
"studious
","intelektualny
"
"pis
","pis
"
"insect
","owad
"
"unimparted
","unimparted
"
"panes
","szyby
"
"poised
","Gotowy
"
"grovelled
","płakał
"
"superb
","wspaniały
"
"filing
","piłowanie
"
"hepburn
","hepburn
"
"anyway
","tak czy inaczej
"
"accompaniments
","dodatki
"
"combats
","walki
"
"twenty-nine
","dwadzieścia dziewięć
"
"privations
","niedostatki
"
"cookies
","ciasteczka
"
"loud
","głośny
"
"limply
","bezwładnie
"
"whom
","kogo
"
"schoolroomit
","schoolroomit
"
"begin
","zaczynać
"
"porter
","porter
"
"knapsacks
","plecaki
"
"mold
","pleśń
"
"estimation
","oszacowanie
"
"guilty
","winny
"
"blacker
","czarniejszy
"
"headstrong
","uparty
"
"czerny
","czerny
"
"perform
","wykonać
"
"pushes
","popycha
"
"banisters
","balustrada
"
"register
","zarejestrować
"
"villages
","wioski
"
"exit
","Wyjście
"
"cue
","replika
"
"extremitiesspilt
","pęknięcia kończyn
"
"entwine
","splatać
"
"mealtime
","czas posiłku
"
"emaciated
","wychudzony
"
"marble-seeming
","wyglądający jak marmur
"
"termbroad
","termbroad
"
"whateverwhoever
","cokolwiek
"
"modestly
","nieokazale
"
"piquancy
","pikanteria
"
"disgusted
","oburzony
"
"encroach
","wkraczać
"
"wakening
","budzi się
"
"employed
","zatrudniony
"
"fast
","szybki
"
"hailstorm
","gradobicie
"
"drawers
","szuflady
"
"candlelight
","światło ze świeczki
"
"coolness
","chłód
"
"striven
","starał się
"
"sensations
","wrażenia
"
"distinctly
","wyraźnie
"
"affirmations
","afirmacje
"
"scotland
","szkocja
"
"stupefied
","oszołomiony
"
"unasked
","nie proszony
"
"hammering
","kucie
"
"phantoms
","fantomy
"
"alcove
","alkierz
"
"destroy
","zniszczyć
"
"peu
","peu
"
"laundress
","praczka
"
"played
","grał
"
"bessies
","bessies
"
"trailing
","końcowe
"
"drinks
","napoje
"
"withdrawing
","wycofanie
"
"wind
","wiatr
"
"maambut
","maambut
"
"gossiping
","plotkowanie
"
"chimney-piece
","element kominowy
"
"perilous
","niebezpieczny
"
"walnut
","orzech włoski
"
"nursemaids
","pielęgniarki
"
"extensive
","rozległy
"
"bientôt
","bientôt
"
"refined
","rafinowany
"
"either
","zarówno
"
"japheth
","japheth
"
"temperament
","temperament
"
"martyrs
","męczennicy
"
"disinclined
","niechętny
"
"remembrance
","pamięć
"
"alternation
","alternacja
"
"roomnor
","roomnor
"
"policeman
","policjant
"
"clothe
","odziać
"
"sternness
","srogość
"
"sighed
","westchnął
"
"two-year-old
","dwuletni
"
"effigy
","wizerunek
"
"dislikes
","nie lubi
"
"sea
","morze
"
"chimneys
","kominy
"
"bait
","przynęta
"
"became
","stał się
"
"sleepa
","sleepa
"
"tidying
","sprzątanie
"
"blindly
","ślepo
"
"debarrassed
","wykluczony
"
"dilating
","dylatacja
"
"green
","Zielony
"
"track
","tor
"
"translated
","przetłumaczony
"
"sickshall
","chory
"
"legible
","czytelny
"
"pleasing
","przyjemny
"
"honey
","kochanie
"
"unable
","niezdolny
"
"suffered
","cierpiał
"
"embrowned
","objął
"
"damsel
","panienka
"
"fairfaxs
","Fairfaxs
"
"dealing
","postępowanie
"
"new
","Nowy
"
"externals
","pozory
"
"income
","dochód
"
"currants
","porzeczki
"
"ladies-were
","panie-były
"
"marmion
","marmion
"
"rehumanise
","rehumanizować
"
"youthonly
","Youthonly
"
"skirmishes
","potyczki
"
"pair
","para
"
"rubbing
","tarcie
"
"registering
","rejestracyjny
"
"shroud
","osłona
"
"bijenkorf
","bijenkorf
"
"moms
","mamy
"
"waswhat
","było co
"
"half-open
","wpół otwarty
"
"plank
","deska
"
"definitely
","Zdecydowanie
"
"softer
","bardziej miękki
"
"die
","umierać
"
"stateliness
","dostojność
"
"anticipation
","przewidywanie
"
"comforting
","pocieszający
"
"abundant
","obfity
"
"lingeringly
","ociągając się
"
"sheets
","pościel
"
"announcements
","ogłoszenia
"
"stalingrad
","stalingrad
"
"shuddered
","zadrżał
"
"mistresses
","kochanki
"
"outlawry
","banicja
"
"families
","rodziny
"
"thronebetween
","thronebetween
"
"westertoren
","westertoren
"
"pantomime
","pantomima
"
"fortitude
","hart
"
"enterprise
","przedsiębiorstwo
"
"chiefest
","główny
"
"mush
","papka
"
"beethoven
","beethoven
"
"peaceful
","spokojna
"
"temperance
","wstrzemięźliwość
"
"groans
","stękanie
"
"curl-paper
","zwinięty papier
"
"steal
","ukraść
"
"cadeau
","cadeau
"
"unguardedly
","niestrzeżony
"
"cautioned
","ostrzeżony
"
"sequel
","dalszy ciąg
"
"misfortunes
","nieszczęścia
"
"cady's
","cady's
"
"disarrangementwe
","disarrangementwe
"
"perusal
","uważne przeczytanie
"
"putting
","wprowadzenie
"
"deathbed
","łoże śmierci
"
"peak
","szczyt
"
"magnified
","powiększony
"
"grieving
","żałoba
"
"youngsters
","małe dzieci
"
"troubles
","kłopoty
"
"glean
","zbierać
"
"within
","w ciągu
"
"yellowed
","pożółkły
"
"toilet's
","WC
"
"epithet
","epitet
"
"artists
","artystów
"
"block
","blok
"
"refreshing
","orzeźwiający
"
"hellthe
","piekło
"
"slid
","zsunął się
"
"dreading
","przerażające
"
"actresses
","aktorki
"
"typewriter
","maszyna do pisania
"
"dispensed
","wydany
"
"maamthat
","Maamthat
"
"exercise
","ćwiczenie
"
"eyelashes
","rzęsy
"
"pension
","pensjonat
"
"infantine
","infantylny
"
"striped
","w paski
"
"discharging
","rozładowywanie
"
"caste
","kasta
"
"respecting
","co do
"
"galilei
","galilei
"
"gracefor
","gracefor
"
"swelled
","spuchł
"
"coiffer
","coiffer
"
"opekta
","opekta
"
"night-wind
","nocny wiatr
"
"laden
","obciążony
"
"endeavour
","dążyć
"
"raised
","podniesiony
"
"pilots
","piloci
"
"jobs
","Oferty pracy
"
"tablet
","tablet
"
"evidently
","widocznie
"
"godexperienced
","Bóg doświadczony
"
"betterto
","lepiej
"
"himhis
","on jego
"
"stocking-capped
","zakryte pończochami
"
"places
","miejsc
"
"himdont
","himdont
"
"secondly
","po drugie
"
"water-flags
","flagi wodne
"
"lookingno
","patrząc nie
"
"energetic
","energetyczny
"
"ado
","korowody
"
"flowerbreathed
","ziejąc kwiatem
"
"hello
","cześć
"
"coat
","płaszcz
"
"advance
","postęp
"
"shoes
","buty
"
"counting
","rachunkowość
"
